species,count,sample,Burned
Bromus tectorum,8,1,1
Artemisia tridentata,0,1,1
Pershia tridentata,0,1,1
Poa secunda,0,1,1
Tetradymia canescens,1,1,1
Crepis intermedia,2,1,1
Chrysothamnus viscidiflorus,3,1,1
Lupinus aregenteus,1,1,1
Achnatherum thurberianum,3,1,1
Wyethia mollis,0,1,1
Elymus elymoides,0,1,1
Pascopyrum smithii,0,1,1
Argemone munita,0,1,1
Lactuca serriola,0,1,1
Pleiacanthus spinosus,0,1,1
Lupinus aregenteus,4,2,1
Bromus tectorum,15,2,1
Chrysothamnus viscidiflorus,3,2,1
Wyethia mollis,0,2,1
Pershia tridentata,0,2,1
Artemisia tridentata,0,2,1
Tetradymia canescens,0,2,1
Elymus elymoides,2,2,1
Achnatherum thurberianum,7,2,1
Pascopyrum smithii,1,2,1
Lactuca serriola,6,2,1
Argemone munita,1,2,1
Poa secunda,0,2,1
Crepis intermedia,0,2,1
Pleiacanthus spinosus,0,2,1
Chrysothamnus viscidiflorus,4,3,1
Poa secunda,3,3,1
Bromus tectorum,2,3,1
Crepis intermedia,1,3,1
Lupinus aregenteus,1,3,1
Achnatherum thurberianum,6,3,1
Pleiacanthus spinosus,4,3,1
Lactuca serriola,1,3,1
Artemisia tridentata,0,3,1
Pershia tridentata,0,3,1
Wyethia mollis,0,3,1
Tetradymia canescens,1,3,1
Elymus elymoides,0,3,1
Argemone munita,0,3,1
Pascopyrum smithii,0,3,1
Bromus tectorum,12,4,1
Lupinus aregenteus,3,4,1
Elymus elymoides,2,4,1
Lactuca serriola,1,4,1
Pascopyrum smithii,2,4,1
Pleiacanthus spinosus,2,4,1
Artemisia tridentata,0,4,1
Chrysothamnus viscidiflorus,0,4,1
Wyethia mollis,0,4,1
Pershia tridentata,0,4,1
Tetradymia canescens,0,4,1
Argemone munita,0,4,1
Achnatherum thurberianum,0,4,1
Crepis intermedia,0,4,1
Bromus tectorum,0,5,0
Artemisia tridentata,9,5,0
Pershia tridentata,3,5,0
Poa secunda,1,5,0
Tetradymia canescens,1,5,0
Crepis intermedia,0,5,0
Chrysothamnus viscidiflorus,3,5,0
Lupinus aregenteus,1,5,0
Achnatherum thurberianum,0,5,0
Wyethia mollis,0,5,0
Elymus elymoides,0,5,0
Pascopyrum smithii,0,5,0
Argemone munita,0,5,0
Lactuca serriola,0,5,0
Pleiacanthus spinosus,0,5,0
Lupinus aregenteus,5,6,0
Bromus tectorum,0,6,0
Chrysothamnus viscidiflorus,2,6,0
Wyethia mollis,6,6,0
Pershia tridentata,12,6,0
Artemisia tridentata,10,6,0
Tetradymia canescens,1,6,0
Elymus elymoides,0,6,0
Achnatherum thurberianum,0,6,0
Pascopyrum smithii,0,6,0
Lactuca serriola,0,6,0
Argemone munita,0,6,0
Poa secunda,0,6,0
Crepis intermedia,0,6,0
Pleiacanthus spinosus,0,6,0
Chrysothamnus viscidiflorus,2,7,0
Poa secunda,7,7,0
Bromus tectorum,5,7,0
Crepis intermedia,0,7,0
Lupinus aregenteus,2,7,0
Achnatherum thurberianum,0,7,0
Pleiacanthus spinosus,1,7,0
Lactuca serriola,0,7,0
Artemisia tridentata,10,7,0
Pershia tridentata,3,7,0
Wyethia mollis,1,7,0
Tetradymia canescens,1,7,0
Elymus elymoides,0,7,0
Argemone munita,0,7,0
Pascopyrum smithii,0,7,0
Bromus tectorum,0,8,0
Lupinus aregenteus,5,8,0
Elymus elymoides,2,8,0
Lactuca serriola,0,8,0
Pascopyrum smithii,0,8,0
Pleiacanthus spinosus,0,8,0
Artemisia tridentata,9,8,0
Chrysothamnus viscidiflorus,2,8,0
Wyethia mollis,1,8,0
Pershia tridentata,5,8,0
Tetradymia canescens,0,8,0
Argemone munita,0,8,0
Achnatherum thurberianum,0,8,0
Crepis intermedia,0,8,0
