Species,count,sample,Burned,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,5,1,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,5,1,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,5,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,5,1,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,5,1,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,1,6,1,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,7,6,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,1,6,1,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,1,6,1,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus/Ericameria nauseosa rabbits,6,6,1,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,10,6,1,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,2,6,1,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,3,6,1,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,5,6,1,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,2,6,1,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,2,6,1,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,2,6,1,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,6,1,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,6,1,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,6,1,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,6,1,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,6,1,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,3,7,1,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,5,7,1,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,4,7,1,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,2,7,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,2,7,1,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus/Ericameria nauseosa rabbits,7,7,1,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,3,7,1,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,4,7,1,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,7,1,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,7,1,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,1,8,1,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,1,8,1,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",6,8,1,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,15,8,1,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,8,8,1,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,8,1,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,8,1,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,8,1,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,1,9,1,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,1,9,1,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,9,9,1,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,8,9,1,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,5,9,1,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,4,9,1,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,9,1,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",0,9,1,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,9,1,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,9,1,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,9,1,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,11,10,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,5,10,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,10,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",6,10,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,2,10,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,5,10,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,10,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,10,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,3,11,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,1,11,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,3,11,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,14,11,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",2,11,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,6,11,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,11,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,11,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,11,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,11,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,4,12,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,5,12,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,9,12,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,5,12,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,3,12,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,12,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",4,12,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,12,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,12,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,12,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,12,13,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",1,13,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,1,13,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,3,13,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,11,13,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,2,13,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,13,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,13,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,13,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,6,14,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,10,14,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,14,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,1,14,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",0,14,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,3,14,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,4,14,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,3,14,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,2,14,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,14,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,14,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,14,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,10,15,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,4,15,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,4,15,0,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus/Ericameria nauseosa rabbits,4,15,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,5,15,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,1,15,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,2,15,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,1,15,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,1,15,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,0,15,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,15,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,6,16,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,2,16,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus/Ericameria nauseosa rabbits,1,16,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,12,16,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,6,16,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,3,16,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,16,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,16,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,6,17,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,10,17,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,2,17,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,7,17,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,0,17,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",2,17,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,1,17,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,17,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,17,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,17,0,,,,,,,,,,,,,,,,,,,,,,
Taeniatherum caput-medusae,,18,0,,,,,,,,,,,,,,,,,,,,,,
Purshia tridentata,3,18,0,,,,,,,,,,,,,,,,,,,,,,
Wyethia mollis,4,18,0,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,10,18,0,,,,,,,,,,,,,,,,,,,,,,
Tetradymia canescens/argyraea,3,18,0,,,,,,,,,,,,,,,,,,,,,,
Bromus tectorum,1,18,0,,,,,,,,,,,,,,,,,,,,,,
Poa secunda,8,18,0,,,,,,,,,,,,,,,,,,,,,,
Bare Ground,0,18,0,,,,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,18,0,,,,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,18,0,,,,,,,,,,,,,,,,,,,,,,
"Chrysothamnus
viscidiflorus/Ericameria nauseosa",0,18,0,,,,,,,,,,,,,,,,,,,,,,
Eriogonum sp.,0,18,0,,,,,,,,,,,,,,,,,,,,,,
Delphinum sp.,0,18,0,,,,,,,,,,,,,,,,,,,,,,
Lupinus sp.,0,18,0,,,,,,,,,,,,,,,,,,,,,,
Ephedra viridis,0,18,0,,,,,,,,,,,,,,,,,,,,,,
unkn grass sp. 1,0,18,0,,,,,,,,,,,,,,,,,,,,,,
unkn forb sp. 1,0,18,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
